12-05-2016 16:13:45,605; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Iniciando o servidor...
12-05-2016 16:13:45,728; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Servidor iniciado com sucesso!
12-05-2016 16:13:59,129; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Iniciando o servidor...
12-05-2016 16:13:59,276; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Servidor iniciado com sucesso!
12-05-2016 16:14:02,472; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Iniciando o servidor...
12-05-2016 16:14:02,642; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Servidor iniciado com sucesso!
12-05-2016 16:14:05,562; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Iniciando o servidor...
12-05-2016 16:14:05,691; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Servidor iniciado com sucesso!
12-05-2016 16:47:27,652; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Iniciando o servidor...
12-05-2016 16:47:27,806; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Servidor iniciado com sucesso!
12-05-2016 16:47:32,264; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Iniciando o servidor...
12-05-2016 16:47:32,398; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Servidor iniciado com sucesso!
12-05-2016 16:48:15,994; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Iniciando o servidor...
12-05-2016 16:48:16,113; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Servidor iniciado com sucesso!
12-05-2016 16:52:13,222; [AWT-EventQueue-0]; ERROR; br.facape.sistemas.distribuidos.chat.client.application.ui.ChatWindow;  - java.rmi.NotBoundException: chat
12-05-2016 16:59:14,065; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Iniciando o cliente...
12-05-2016 16:59:14,197; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Cliente iniciado com sucesso!
12-05-2016 20:49:57,254; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Iniciando o cliente...
12-05-2016 20:49:57,568; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Cliente iniciado com sucesso!
12-05-2016 20:50:29,437; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Iniciando o cliente...
12-05-2016 20:50:29,769; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Cliente iniciado com sucesso!
12-05-2016 20:55:30,429; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Iniciando o cliente...
12-05-2016 20:55:30,725; [main]; INFO ; br.facape.sistemas.distribuidos.chat.client.application.ClientApplication;  - Cliente iniciado com sucesso!
